Time - Plot 0,Amplitude - Plot 1,Amplitude - Plot 0
0,-3.2,-2.8
4.00E-08,-3,-3
8.00E-08,-3.4,-2.8
1.20E-07,-3.2,-3
1.60E-07,-3,-2.8
2.00E-07,-3.2,-3
2.40E-07,-3,-3
2.80E-07,-3.2,-3
3.20E-07,-3,-3.4
3.60E-07,-3,-3.2
4.00E-07,-3.2,-3
4.40E-07,-3.2,-2.8
4.80E-07,-3,-3.4
5.20E-07,-3.2,-3.2
5.60E-07,-3,-3
6.00E-07,-2.8,-3
6.40E-07,-3.4,-3.2
6.80E-07,-3,-3.2
7.20E-07,-3.2,-3.2
7.60E-07,-3.2,-3
8.00E-07,-3.2,-3
8.40E-07,-3.2,-3.2
8.80E-07,-3.2,-3.2
9.20E-07,-3,-3
9.60E-07,-3,-3.2
1.00E-06,-2.8,-3.2
1.04E-06,-3.2,-3.2
1.08E-06,-3,-3
1.12E-06,-3.2,-3
1.16E-06,-3.2,-3
1.20E-06,-3,-3
1.24E-06,-3,-3.2
1.28E-06,-3,-3.2
1.32E-06,-3.2,-3
1.36E-06,-3.2,-3.2
1.40E-06,-3.2,-3
1.44E-06,-2.8,-3.2
1.48E-06,-3.2,-3.4
1.52E-06,-3.2,-2.8
1.56E-06,-3,-2.8
1.60E-06,-3.2,-3
1.64E-06,-3,-3.2
1.68E-06,-3,-3.2
1.72E-06,-2.8,-3.2
1.76E-06,-3,-2.6
1.80E-06,-3,-3.2
1.84E-06,-3,-3.2
1.88E-06,-3.2,-3
1.92E-06,-3,-3.4
1.96E-06,-3,-3.2
2.00E-06,-2.8,-3
2.04E-06,-3,-3
2.08E-06,-3.2,-3
2.12E-06,-3,-3
2.16E-06,-3.2,-3.2
2.20E-06,-3,-3.2
2.24E-06,-3,-2.8
2.28E-06,-2.8,-3.2
2.32E-06,-3,-3
2.36E-06,-3,-3.4
2.40E-06,-3,-3.2
2.44E-06,-2.8,-3
2.48E-06,-3,-3.2
2.52E-06,-3.2,-3.2
2.56E-06,-3,-3
2.60E-06,-3.2,-3.4
2.64E-06,-3,-3.2
2.68E-06,-3,-3
2.72E-06,-3.4,-2.8
2.76E-06,-3.2,-3.2
2.80E-06,-3,-3
