Time - Plot 0,Amplitude - Plot 0,,,
0,17.8103,,,
24.660669,15.0103,,,4d
49.321338,-46.9897,,,source fft
73.982008,-46.9897,,,
98.642677,-46.9897,,,
123.303346,-46.9897,,,
147.964015,-46.9897,,,
172.624684,-46.9897,,,
197.285354,-46.9897,,,
221.946023,-46.9897,,,
246.606692,-46.9897,,,
271.267361,-46.9897,,,
295.92803,-46.9897,,,
320.588699,-46.9897,,,
345.249369,-46.9897,,,
369.910038,-46.9897,,,
394.570707,-46.9897,,,
419.231376,-46.9897,,,
443.892045,-46.9897,,,
468.552715,-46.9897,,,
493.213384,-45.7897,,,
517.874053,-46.9897,,,
542.534722,-46.9897,,,
567.195391,-46.9897,,,
591.856061,-46.9897,,,
616.51673,-46.9897,,,
641.177399,-46.9897,,,
665.838068,-46.9897,,,
690.498737,-46.9897,,,
715.159407,-46.9897,,,
739.820076,-46.9897,,,
764.480745,-46.9897,,,
789.141414,-46.9897,,,
813.802083,-45.7897,,,
838.462753,-43.3897,,,
863.123422,-45.7897,,,
887.784091,-46.9897,,,
912.44476,-38.9897,,,
937.105429,-28.1897,,,
961.766098,-12.5897,,,
986.426768,2.6103,,,
1011.087437,3.0103,,,
1035.748106,-9.7897,,,
1060.408775,-26.9897,,,
1085.069444,-38.9897,,,
1109.730114,-46.9897,,,
1134.390783,-46.9897,,,
1159.051452,-45.7897,,,
1183.712121,-46.9897,,,
1208.37279,-46.9897,,,
1233.03346,-46.9897,,,
1257.694129,-46.9897,,,
1282.354798,-46.9897,,,
1307.015467,-46.9897,,,
1331.676136,-46.9897,,,
1356.336806,-46.9897,,,
1380.997475,-46.9897,,,
1405.658144,-46.9897,,,
1430.318813,-46.9897,,,
1454.979482,-46.9897,,,
1479.640152,-46.9897,,,
1504.300821,-42.9897,,,
1528.96149,-40.9897,,,
1553.622159,-46.9897,,,
1578.282828,-46.9897,,,
1602.943497,-46.9897,,,
1627.604167,-46.9897,,,
1652.264836,-46.9897,,,
1676.925505,-46.9897,,,
1701.586174,-45.7897,,,
1726.246843,-46.9897,,,
1750.907513,-46.9897,,,
1775.568182,-46.9897,,,
1800.228851,-46.9897,,,
1824.88952,-46.9897,,,
1849.550189,-46.9897,,,
1874.210859,-46.9897,,,
1898.871528,-46.9897,,,
1923.532197,-46.9897,,,
1948.192866,-46.9897,,,
1972.853535,-46.9897,,,
1997.514205,-42.9897,,,
2022.174874,-43.7897,,,
2046.835543,-46.9897,,,
2071.496212,-46.9897,,,
2096.156881,-46.9897,,,
2120.817551,-46.9897,,,
2145.47822,-46.9897,,,
2170.138889,-46.9897,,,
2194.799558,-46.9897,,,
2219.460227,-46.9897,,,
2244.120896,-46.9897,,,
2268.781566,-46.9897,,,
2293.442235,-46.9897,,,
2318.102904,-46.9897,,,
2342.763573,-46.9897,,,
2367.424242,-46.9897,,,
2392.084912,-46.9897,,,
2416.745581,-46.9897,,,
2441.40625,-46.9897,,,
2466.066919,-46.9897,,,
2490.727588,-45.7897,,,
2515.388258,-46.9897,,,
2540.048927,-46.9897,,,
2564.709596,-46.9897,,,
2589.370265,-46.9897,,,
2614.030934,-46.9897,,,
2638.691604,-45.7897,,,
2663.352273,-46.9897,,,
2688.012942,-46.9897,,,
2712.673611,-46.9897,,,
2737.33428,-46.9897,,,
2761.994949,-46.9897,,,
2786.655619,-46.9897,,,
2811.316288,-42.9897,,,
2835.976957,-46.9897,,,
2860.637626,-46.9897,,,
2885.298295,-46.9897,,,
2909.958965,-46.9897,,,
2934.619634,-46.9897,,,
2959.280303,-45.7897,,,
2983.940972,-45.7897,,,
3008.601641,-46.9897,,,
3033.262311,-46.9897,,,
3057.92298,-46.9897,,,
3082.583649,-46.9897,,,
3107.244318,-46.9897,,,
3131.904987,-46.9897,,,
3156.565657,-46.9897,,,
3181.226326,-46.9897,,,
3205.886995,-46.9897,,,
3230.547664,-46.9897,,,
3255.208333,-46.9897,,,
3279.869003,-46.9897,,,
3304.529672,-46.9897,,,
3329.190341,-45.7897,,,
3353.85101,-46.9897,,,
3378.511679,-46.9897,,,
3403.172348,-46.9897,,,
3427.833018,-46.9897,,,
3452.493687,-46.9897,,,
3477.154356,-43.7897,,,
3501.815025,-45.7897,,,
3526.475694,-46.9897,,,
3551.136364,-46.9897,,,
3575.797033,-46.9897,,,
3600.457702,-46.9897,,,
3625.118371,-46.9897,,,
3649.77904,-46.9897,,,
3674.43971,-46.9897,,,
3699.100379,-46.9897,,,
3723.761048,-46.9897,,,
3748.421717,-46.9897,,,
3773.082386,-46.9897,,,
3797.743056,-46.9897,,,
3822.403725,-46.9897,,,
3847.064394,-46.9897,,,
3871.725063,-46.9897,,,
3896.385732,-46.9897,,,
3921.046402,-46.9897,,,
3945.707071,-45.7897,,,
3970.36774,-46.9897,,,
3995.028409,-45.7897,,,
4019.689078,-45.7897,,,
4044.349747,-46.9897,,,
4069.010417,-46.9897,,,
4093.671086,-46.9897,,,
4118.331755,-46.9897,,,
4142.992424,-46.9897,,,
4167.653093,-46.9897,,,
4192.313763,-46.9897,,,
4216.974432,-45.7897,,,
4241.635101,-45.7897,,,
4266.29577,-46.9897,,,
4290.956439,-46.9897,,,
4315.617109,-46.9897,,,
4340.277778,-46.9897,,,
4364.938447,-46.9897,,,
4389.599116,-46.9897,,,
4414.259785,-46.9897,,,
4438.920455,-46.9897,,,
4463.581124,-42.9897,,,
4488.241793,-45.7897,,,
4512.902462,-46.9897,,,
4537.563131,-46.9897,,,
4562.223801,-46.9897,,,
4586.88447,-46.9897,,,
4611.545139,-46.9897,,,
4636.205808,-46.9897,,,
4660.866477,-46.9897,,,
4685.527146,-46.9897,,,
4710.187816,-46.9897,,,
4734.848485,-46.9897,,,
4759.509154,-46.9897,,,
4784.169823,-46.9897,,,
4808.830492,-46.9897,,,
4833.491162,-46.9897,,,
4858.151831,-46.9897,,,
4882.8125,-46.9897,,,
4907.473169,-45.7897,,,
4932.133838,-45.7897,,,
4956.794508,-46.9897,,,
4981.455177,-46.9897,,,
5006.115846,-46.9897,,,
5030.776515,-46.9897,,,
