Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
1.25E-06,0.2,1.25E-06,-5.2,,,
1.26E-06,0.2,1.26E-06,-5.2,,,
1.27E-06,0.2,1.27E-06,-4.8,,,
1.28E-06,0.2,1.28E-06,-5,,,
1.29E-06,0.2,1.29E-06,-5,,,
1.30E-06,0.4,1.30E-06,-5.2,,,
1.31E-06,0.4,1.31E-06,-4.8,,,
1.32E-06,0.2,1.32E-06,-4.8,,,
1.33E-06,0.2,1.33E-06,-5,,,
1.34E-06,0.2,1.34E-06,-5,,,
1.35E-06,0,1.35E-06,-5.6,,,
1.36E-06,0.4,1.36E-06,-5,,,
1.37E-06,0.2,1.37E-06,-4.8,,,
1.38E-06,0.2,1.38E-06,-5.2,,,
1.39E-06,0.2,1.39E-06,-5,,,
1.40E-06,0.4,1.40E-06,-4.6,,,
1.41E-06,0.4,1.41E-06,-5,,,
1.42E-06,0,1.42E-06,-4.6,,,
1.43E-06,0,1.43E-06,-5,,,
1.44E-06,0.4,1.44E-06,-4.8,,,
1.45E-06,0.2,1.45E-06,-4.8,,,
1.46E-06,0.4,1.46E-06,-5,,,
1.47E-06,0.2,1.47E-06,-4.8,,,
1.48E-06,0.2,1.48E-06,-5.2,,,
1.49E-06,0.4,1.49E-06,-4.8,,,
1.50E-06,0.6,1.50E-06,-4.8,,,
1.51E-06,0.4,1.51E-06,-5,,,
1.52E-06,0.2,1.52E-06,-4.8,,,
1.53E-06,0.2,1.53E-06,-4.8,,,
1.54E-06,0.4,1.54E-06,-4.8,,,
1.55E-06,0.4,1.55E-06,-4.8,,,
1.56E-06,0.2,1.56E-06,-4.6,,,
1.57E-06,0.2,1.57E-06,-5.2,,,
1.58E-06,0.2,1.58E-06,-5,,,
1.59E-06,0.2,1.59E-06,-4.6,,,
1.60E-06,0.4,1.60E-06,-5,,,
1.61E-06,0.4,1.61E-06,-4.8,,,
1.62E-06,0.2,1.62E-06,-4.6,,,
1.63E-06,0.4,1.63E-06,-5.2,,,
1.64E-06,0.2,1.64E-06,-5,,,
1.65E-06,0,1.65E-06,-4.8,,,
1.66E-06,0.4,1.66E-06,-5,,,
1.67E-06,0.4,1.67E-06,-5,,,
1.68E-06,0.6,1.68E-06,-5,,,
1.69E-06,0.2,1.69E-06,-4.8,,,
1.70E-06,0,1.70E-06,-4.8,,,
1.71E-06,0,1.71E-06,-5,,,
1.72E-06,0.2,1.72E-06,-4.8,,,
1.73E-06,0.4,1.73E-06,-4.6,,,
1.74E-06,0.2,1.74E-06,-4.8,,,
1.75E-06,0.6,1.75E-06,-4.8,,,
1.76E-06,0.4,1.76E-06,-5,,,
1.77E-06,0.4,1.77E-06,-4.6,,,
1.78E-06,0.6,1.78E-06,-5,,,
1.79E-06,0.6,1.79E-06,-4.8,,,
1.80E-06,0,1.80E-06,-4.8,,,
1.81E-06,0,1.81E-06,-5,,,
1.82E-06,0.2,1.82E-06,-5,,,
1.83E-06,0.4,1.83E-06,-4.6,,,
1.84E-06,0,1.84E-06,-5,,,
1.85E-06,0.4,1.85E-06,-4.8,,,
1.86E-06,0.2,1.86E-06,-4.8,,,
1.87E-06,0.2,1.87E-06,-5,,,
1.88E-06,0.4,1.88E-06,-4.4,,,
1.89E-06,0.2,1.89E-06,-4.6,,,
1.90E-06,0.6,1.90E-06,-4.8,,,
1.91E-06,0.2,1.91E-06,-4.8,,,
1.92E-06,0,1.92E-06,-4.8,,,
1.93E-06,0.6,1.93E-06,-4.6,,,
1.94E-06,0.2,1.94E-06,-5,,,
1.95E-06,0.2,1.95E-06,-4.6,,,
1.96E-06,0.2,1.96E-06,-5.2,,,
1.97E-06,0,1.97E-06,-4.8,,,
1.98E-06,0.2,1.98E-06,-4.8,,,
1.99E-06,0.4,1.99E-06,-5,,,
2.00E-06,0.4,2.00E-06,-5,,,
2.01E-06,0.4,2.01E-06,-5.2,,,
2.02E-06,0.4,2.02E-06,-5,,,
2.03E-06,0.2,2.03E-06,-4.8,,,
2.04E-06,0.2,2.04E-06,-4.8,,,
