Time (s),Vout (V)
1.68E-05,-0.08
1.68E-05,-0.08
1.68E-05,-0.08
1.69E-05,-0.16
1.69E-05,-0.16
1.70E-05,-0.08
1.70E-05,-0.24
1.70E-05,-0.08
1.71E-05,-0.08
1.71E-05,-0.08
1.72E-05,-0.24
1.72E-05,-0.08
1.72E-05,-0.08
1.73E-05,-0.08
1.73E-05,-0.16
1.74E-05,-0.16
1.74E-05,-0.08
1.74E-05,-0.24
1.75E-05,-0.16
1.75E-05,-0.08
1.76E-05,-0.16
1.76E-05,-0.08
1.76E-05,-0.08
1.77E-05,-0.16
1.77E-05,-0.08
1.78E-05,-0.16
1.78E-05,-0.08
1.78E-05,0
1.79E-05,-0.08
1.79E-05,-0.16
1.80E-05,-0.08
1.80E-05,-0.08
1.80E-05,-0.08
1.81E-05,-0.16
1.81E-05,0
1.82E-05,-0.08
1.82E-05,-0.08
1.82E-05,-0.08
1.83E-05,-0.16
1.83E-05,-0.16
1.84E-05,-0.08
1.84E-05,-0.24
1.84E-05,-0.08
1.85E-05,0
1.85E-05,0
1.86E-05,-0.08
1.86E-05,-0.16
1.86E-05,-0.16
1.87E-05,-0.08
1.87E-05,0
1.88E-05,-0.08
1.88E-05,-0.08
1.88E-05,-0.16
1.89E-05,-0.16
1.89E-05,-0.08
1.90E-05,0.08
1.90E-05,-0.16
1.90E-05,-0.16
1.91E-05,-0.24
1.91E-05,-0.08
1.92E-05,-0.16
1.92E-05,-0.08
1.92E-05,-0.08
1.93E-05,0
1.93E-05,-0.08
1.94E-05,-0.08
1.94E-05,-0.16
1.94E-05,-0.16
1.95E-05,-0.08
1.95E-05,-0.16
1.96E-05,-0.08
1.96E-05,-0.08
1.96E-05,-0.08
1.97E-05,-0.08
1.97E-05,0
1.98E-05,-0.16
1.98E-05,-0.32
1.98E-05,-0.16
1.99E-05,-0.08
1.99E-05,-0.16
2.00E-05,-0.24
2.00E-05,-0.08
2.00E-05,-0.16
2.01E-05,-0.08
2.01E-05,-0.16
2.02E-05,-0.08
2.02E-05,0
2.02E-05,-0.16
2.03E-05,-0.08
2.03E-05,-0.08
2.04E-05,-0.16
2.04E-05,-0.24
2.04E-05,-0.08
2.05E-05,-0.16
2.05E-05,-0.08
2.06E-05,-0.24
2.06E-05,-0.08
2.06E-05,-0.16
2.07E-05,-0.16
2.07E-05,-0.08
2.08E-05,-0.08
2.08E-05,-0.08
2.08E-05,-0.16
2.09E-05,-0.08
2.09E-05,-0.08
2.10E-05,-0.16
2.10E-05,-0.08
2.10E-05,-0.08
2.11E-05,0
2.11E-05,0
2.12E-05,-0.08
2.12E-05,0
2.12E-05,-0.08
2.13E-05,-0.16
2.13E-05,-0.08
2.14E-05,-0.08
2.14E-05,-0.16
2.14E-05,-0.08
2.15E-05,-0.16
2.15E-05,-0.16
2.16E-05,-0.08
2.16E-05,-0.08
2.16E-05,-0.16
2.17E-05,-0.08
2.17E-05,-0.16
2.18E-05,-0.16
2.18E-05,0.08
2.18E-05,-0.08
2.19E-05,-0.08
2.19E-05,-0.08
2.20E-05,-0.16
2.20E-05,-0.16
2.20E-05,-0.08
2.21E-05,0
2.21E-05,-0.08
2.22E-05,-0.08
2.22E-05,-0.08
2.22E-05,-0.16
2.23E-05,-0.08
2.23E-05,-0.08
2.24E-05,-0.08
2.24E-05,0
2.24E-05,0
2.25E-05,-0.08
2.25E-05,-0.08
2.26E-05,-0.16
2.26E-05,-0.16
2.26E-05,-0.16
2.27E-05,-0.08
2.27E-05,0
2.28E-05,-0.08
2.28E-05,-0.08
2.28E-05,-0.08
2.29E-05,-0.08
2.29E-05,-0.08
2.30E-05,-0.16
2.30E-05,-0.16
2.30E-05,-0.16
2.31E-05,0.08
2.31E-05,-0.08
2.32E-05,-0.16
2.32E-05,-0.16
2.32E-05,-0.08
2.33E-05,-0.16
2.33E-05,-0.08
2.34E-05,-0.08
2.34E-05,-0.08
2.34E-05,-0.08
2.35E-05,-0.08
2.35E-05,-0.08
2.36E-05,-0.08
2.36E-05,-0.16
2.36E-05,-0.08
2.37E-05,0.08
2.37E-05,-0.08
2.38E-05,-0.16
2.38E-05,-0.08
2.38E-05,-0.16
2.39E-05,-0.08
2.39E-05,-0.32
2.40E-05,0
2.40E-05,-0.16
2.40E-05,-0.16
2.41E-05,-0.16
2.41E-05,-0.16
2.42E-05,-0.16
2.42E-05,-0.16
2.42E-05,-0.08
2.43E-05,-0.16
2.43E-05,-0.16
2.44E-05,-0.24
2.44E-05,-0.16
2.44E-05,-0.08
2.45E-05,-0.08
2.45E-05,-0.08
2.46E-05,-0.08
2.46E-05,-0.08
2.46E-05,-0.08
2.47E-05,-0.16
2.47E-05,-0.08
2.48E-05,-0.08
2.48E-05,-0.08
2.48E-05,-0.16
2.49E-05,-0.16
2.49E-05,-0.08
2.50E-05,0
2.50E-05,-0.08
2.50E-05,0
2.51E-05,-0.16
2.51E-05,-0.08
2.52E-05,-0.08
2.52E-05,-0.16
2.52E-05,-0.16
2.53E-05,-0.08
2.53E-05,-0.16
2.54E-05,-0.16
2.54E-05,-0.08
2.54E-05,-0.08
2.55E-05,-0.08
2.55E-05,-0.08
2.56E-05,-0.08
2.56E-05,-0.16
2.56E-05,-0.24
2.57E-05,-0.16
2.57E-05,-0.16
2.58E-05,0.08
2.58E-05,-0.16
2.58E-05,-0.16
2.59E-05,0
2.59E-05,-0.08
2.60E-05,-0.24
2.60E-05,-0.16
2.60E-05,0
2.61E-05,-0.08
2.61E-05,-0.16
2.62E-05,0
2.62E-05,-0.16
2.62E-05,-0.16
2.63E-05,-0.16
2.63E-05,-0.16
2.64E-05,-0.08
2.64E-05,0
2.64E-05,-0.08
2.65E-05,-0.08
2.65E-05,-0.16
2.66E-05,0
2.66E-05,-0.08
2.66E-05,0
2.67E-05,-0.08
2.67E-05,-0.08
2.68E-05,-0.16
2.68E-05,-0.08
2.68E-05,-0.08
2.69E-05,-0.08
2.69E-05,-0.16
2.70E-05,-0.08
2.70E-05,-0.16
2.70E-05,0
2.71E-05,-0.08
2.71E-05,-0.08
2.72E-05,-0.08
2.72E-05,-0.08
2.72E-05,-0.16
2.73E-05,-0.08
2.73E-05,-0.16
2.74E-05,-0.16
2.74E-05,-0.16
2.74E-05,-0.16
2.75E-05,-0.16
2.75E-05,0
2.76E-05,0
2.76E-05,-0.08
2.76E-05,0
2.77E-05,-0.08
2.77E-05,-0.16
2.78E-05,-0.16
2.78E-05,-0.16
2.78E-05,-0.24
2.79E-05,-0.32
2.79E-05,0
2.80E-05,-0.08
2.80E-05,-0.16
2.80E-05,-0.16
2.81E-05,-0.16
2.81E-05,0
2.82E-05,-0.08
2.82E-05,-0.16
2.82E-05,-0.16
2.83E-05,-0.16
2.83E-05,-0.16
2.84E-05,-0.16
2.84E-05,-0.08
2.84E-05,-0.16
2.85E-05,-0.24
2.85E-05,-0.08
2.86E-05,-0.08
2.86E-05,-0.16
2.86E-05,-0.16
2.87E-05,-0.24
2.87E-05,-0.08
2.88E-05,-0.08
2.88E-05,-0.16
2.88E-05,-0.16
2.89E-05,-0.08
2.89E-05,-0.16
2.90E-05,-0.16
2.90E-05,-0.08
2.90E-05,-0.16
2.91E-05,-0.08
2.91E-05,-0.08
2.92E-05,-0.08
2.92E-05,-0.08
2.92E-05,0
2.93E-05,-0.16
2.93E-05,-0.16
2.94E-05,-0.16
2.94E-05,-0.16
2.94E-05,-0.08
2.95E-05,-0.16
2.95E-05,0.08
2.96E-05,-0.16
2.96E-05,-0.08
2.96E-05,-0.16
2.97E-05,-0.08
2.97E-05,0.08
2.98E-05,-0.08
2.98E-05,-0.08
2.98E-05,-0.16
2.99E-05,-0.08
2.99E-05,-0.08
3.00E-05,-0.16
3.00E-05,0
3.00E-05,-0.16
3.01E-05,-0.08
3.01E-05,-0.08
3.02E-05,-0.08
3.02E-05,0
3.02E-05,-0.08
3.03E-05,-0.08
3.03E-05,-0.08
3.04E-05,-0.08
3.04E-05,-0.08
3.04E-05,-0.08
3.05E-05,0
3.05E-05,-0.08
3.06E-05,-0.16
3.06E-05,-0.08
3.06E-05,-0.16
3.07E-05,-0.16
3.07E-05,-0.08
3.08E-05,0
3.08E-05,0
3.08E-05,0
3.09E-05,-0.16
3.09E-05,-0.16
3.10E-05,-0.16
3.10E-05,0
3.10E-05,-0.16
3.11E-05,-0.16
3.11E-05,-0.16
3.12E-05,0
3.12E-05,-0.16
3.12E-05,-0.16
3.13E-05,-0.16
3.13E-05,-0.16
3.14E-05,-0.08
3.14E-05,-0.24
3.14E-05,-0.08
3.15E-05,-0.08
3.15E-05,-0.16
3.16E-05,-0.16
3.16E-05,0.08
3.16E-05,-0.16
3.17E-05,-0.24
3.17E-05,-0.16
3.18E-05,-0.08
3.18E-05,-0.08
3.18E-05,-0.32
3.19E-05,-0.08
3.19E-05,-0.08
3.20E-05,-0.08
3.20E-05,-0.16
3.20E-05,-0.16
3.21E-05,-0.08
3.21E-05,-0.08
3.22E-05,-0.08
3.22E-05,-0.08
3.22E-05,-0.08
3.23E-05,-0.24
3.23E-05,-0.08
3.24E-05,-0.08
3.24E-05,-0.08
3.24E-05,-0.16
3.25E-05,-0.08
3.25E-05,-0.16
3.26E-05,-0.16
3.26E-05,-0.08
3.26E-05,-0.16
3.27E-05,-0.08
3.27E-05,-0.16
3.28E-05,-0.08
3.28E-05,-0.08
3.28E-05,-0.24
3.29E-05,-0.08
3.29E-05,-0.08
3.30E-05,-0.08
3.30E-05,-0.16
3.30E-05,-0.08
3.31E-05,-0.16
3.31E-05,-0.08
3.32E-05,-0.08
3.32E-05,-0.08
3.32E-05,-0.08
3.33E-05,-0.16
3.33E-05,-0.16
3.34E-05,-0.16
3.34E-05,-0.16
3.34E-05,-0.16
3.35E-05,0.08
3.35E-05,-0.16
3.36E-05,-0.08
3.36E-05,-0.16
3.36E-05,-0.08
3.37E-05,0.08
3.37E-05,-0.08
3.38E-05,-0.24
3.38E-05,0
3.38E-05,-0.08
3.39E-05,-0.16
3.39E-05,-0.16
3.40E-05,0
3.40E-05,-0.16
3.40E-05,-0.08
3.41E-05,-0.08
3.41E-05,-0.08
3.42E-05,-0.08
3.42E-05,-0.08
3.42E-05,-0.16
3.43E-05,-0.08
3.43E-05,0
3.44E-05,0
3.44E-05,0
3.44E-05,-0.16
3.45E-05,-0.16
3.45E-05,-0.16
3.46E-05,-0.08
3.46E-05,-0.08
3.46E-05,0
3.47E-05,-0.16
3.47E-05,-0.16
3.48E-05,-0.08
3.48E-05,0
3.48E-05,-0.08
3.49E-05,-0.08
3.49E-05,-0.16
3.50E-05,0
3.50E-05,-0.16
3.50E-05,0
3.51E-05,-0.16
3.51E-05,-0.08
3.52E-05,-0.16
3.52E-05,-0.16
3.52E-05,-0.08
3.53E-05,-0.16
3.53E-05,-0.08
3.54E-05,-0.16
3.54E-05,-0.08
3.54E-05,-0.08
3.55E-05,-0.08
3.55E-05,0
3.56E-05,0
3.56E-05,0
3.56E-05,-0.24
3.57E-05,-0.16
3.57E-05,-0.08
3.58E-05,-0.16
3.58E-05,-0.32
3.58E-05,0
3.59E-05,-0.08
3.59E-05,0
3.60E-05,-0.16
3.60E-05,-0.08
3.60E-05,0.08
3.61E-05,-0.16
3.61E-05,-0.16
3.62E-05,-0.24
3.62E-05,-0.16
3.62E-05,-0.24
3.63E-05,-0.16
3.63E-05,-0.08
3.64E-05,-0.16
3.64E-05,-0.16
3.64E-05,-0.16
3.65E-05,0
3.65E-05,-0.24
3.66E-05,-0.08
3.66E-05,-0.08
3.66E-05,-0.16
3.67E-05,-0.08
3.67E-05,-0.16
3.68E-05,-0.16
3.68E-05,-0.16
3.68E-05,-0.08
3.69E-05,-0.16
3.69E-05,-0.08
3.70E-05,-0.16
3.70E-05,-0.08
3.70E-05,-0.16
3.71E-05,-0.16
3.71E-05,-0.08
3.72E-05,-0.08
3.72E-05,-0.08
3.72E-05,-0.24
3.73E-05,-0.16
3.73E-05,-0.08
3.74E-05,-0.16
3.74E-05,-0.08
3.74E-05,-0.16
3.75E-05,-0.16
3.75E-05,0
3.76E-05,-0.16
3.76E-05,-0.08
3.76E-05,0.08
3.77E-05,-0.16
3.77E-05,-0.16
3.78E-05,-0.08
3.78E-05,-0.16
3.78E-05,-0.08
3.79E-05,-0.16
3.79E-05,0
3.80E-05,-0.16
3.80E-05,-0.08
3.80E-05,-0.08
3.81E-05,-0.16
3.81E-05,-0.08
3.82E-05,-0.16
3.82E-05,-0.08
3.82E-05,-0.08
3.83E-05,-0.24
3.83E-05,0
3.84E-05,-0.08
3.84E-05,-0.08
3.84E-05,0
3.85E-05,-0.08
3.85E-05,-0.08
3.86E-05,-0.08
3.86E-05,-0.08
3.86E-05,-0.08
3.87E-05,-0.08
3.87E-05,-0.08
3.88E-05,-0.08
3.88E-05,-0.08
3.88E-05,-0.16
3.89E-05,-0.16
3.89E-05,-0.08
3.90E-05,-0.08
3.90E-05,-0.16
3.90E-05,-0.16
3.91E-05,-0.16
3.91E-05,-0.08
3.92E-05,-0.08
3.92E-05,-0.08
3.92E-05,-0.08
3.93E-05,-0.08
3.93E-05,-0.08
3.94E-05,-0.08
3.94E-05,-0.08
3.94E-05,-0.08
3.95E-05,-0.08
3.95E-05,0
3.96E-05,-0.08
3.96E-05,-0.16
3.96E-05,-0.16
3.97E-05,0
3.97E-05,-0.16
3.98E-05,-0.16
3.98E-05,0
3.98E-05,-0.08
3.99E-05,-0.08
3.99E-05,-0.24
4.00E-05,-0.08
4.00E-05,-0.08
4.00E-05,-0.16
4.01E-05,-0.08
4.01E-05,-0.16
4.02E-05,-0.16
4.02E-05,-0.16
4.02E-05,-0.08
4.03E-05,-0.16
4.03E-05,-0.16
4.04E-05,-0.16
4.04E-05,0.72
4.04E-05,1.68
4.05E-05,2.24
4.05E-05,2.32
4.06E-05,3.04
4.06E-05,3.04
4.06E-05,3.44
4.07E-05,3.44
4.07E-05,3.52
4.08E-05,3.52
4.08E-05,3.76
4.09E-05,3.76
4.09E-05,3.68
4.10E-05,3.76
4.10E-05,3.6
4.10E-05,3.76
4.11E-05,3.76
4.11E-05,3.76
4.12E-05,3.68
4.12E-05,3.52
4.12E-05,3.52
4.13E-05,3.68
4.13E-05,3.68
4.14E-05,3.68
4.14E-05,3.52
4.14E-05,3.52
4.15E-05,3.36
4.15E-05,3.52
4.16E-05,3.52
4.16E-05,3.6
4.16E-05,3.44
4.17E-05,3.44
4.17E-05,3.36
4.18E-05,3.44
4.18E-05,3.44
4.18E-05,3.44
4.19E-05,3.44
4.19E-05,3.36
4.20E-05,3.2
4.20E-05,3.36
4.20E-05,3.36
4.21E-05,3.36
4.21E-05,3.36
4.22E-05,3.12
4.22E-05,3.2
4.22E-05,3.36
4.23E-05,3.36
4.23E-05,3.12
4.24E-05,3.28
4.24E-05,3.28
4.24E-05,3.12
4.25E-05,3.12
4.25E-05,3.12
4.26E-05,3.12
4.26E-05,3.04
4.26E-05,3.2
4.27E-05,3.04
4.27E-05,3.04
4.28E-05,3.04
4.28E-05,3.12
4.28E-05,2.96
4.29E-05,3.2
4.29E-05,2.96
4.30E-05,2.88
4.30E-05,2.96
4.30E-05,2.96
4.31E-05,2.96
4.31E-05,2.96
4.32E-05,2.88
4.32E-05,2.8
4.32E-05,2.88
4.33E-05,2.8
4.33E-05,2.8
4.34E-05,2.88
4.34E-05,2.88
4.34E-05,2.8
4.35E-05,2.88
4.35E-05,2.72
4.36E-05,2.64
4.36E-05,2.72
4.36E-05,2.72
4.37E-05,2.64
4.37E-05,2.64
4.38E-05,2.72
4.38E-05,2.64
4.38E-05,2.64
4.39E-05,2.48
4.39E-05,2.56
4.40E-05,2.64
4.40E-05,2.64
4.40E-05,2.48
4.41E-05,2.64
4.41E-05,2.64
4.42E-05,2.56
4.42E-05,2.56
4.42E-05,2.48
4.43E-05,2.56
4.43E-05,2.56
4.44E-05,2.4
4.44E-05,2.48
4.44E-05,2.48
4.45E-05,2.48
4.45E-05,2.4
4.46E-05,2.56
4.46E-05,2.48
4.46E-05,2.32
4.47E-05,2.48
4.47E-05,2.4
4.48E-05,2.4
4.48E-05,2.4
4.48E-05,2.48
4.49E-05,2.4
4.49E-05,2.48
4.50E-05,2.32
4.50E-05,2.24
4.50E-05,2.4
4.51E-05,2.48
4.51E-05,2.32
4.52E-05,2.24
4.52E-05,2.16
4.52E-05,2.24
4.53E-05,2.24
4.53E-05,2.24
4.54E-05,2.32
4.54E-05,2.24
4.54E-05,2.24
4.55E-05,2.24
4.55E-05,2.32
4.56E-05,2.32
4.56E-05,2.32
4.56E-05,2.24
4.57E-05,2.16
4.57E-05,2.16
4.58E-05,2.08
4.58E-05,2.16
4.58E-05,2.32
4.59E-05,2.16
4.59E-05,2.08
4.60E-05,2.16
4.60E-05,2.16
4.60E-05,2.08
4.61E-05,2.16
4.61E-05,2.16
4.62E-05,2.16
4.62E-05,2.16
4.62E-05,2.24
4.63E-05,1.92
4.63E-05,2.08
4.64E-05,2
4.64E-05,2.08
4.64E-05,2.08
4.65E-05,2.08
4.65E-05,2
4.66E-05,2
4.66E-05,2.08
4.66E-05,1.84
4.67E-05,1.92
4.67E-05,2
4.68E-05,1.92
4.68E-05,1.92
4.68E-05,1.92
4.69E-05,1.84
4.69E-05,1.84
4.70E-05,2
4.70E-05,1.84
4.70E-05,1.84
4.71E-05,1.84
4.71E-05,1.84
4.72E-05,1.84
4.72E-05,1.84
4.72E-05,1.84
4.73E-05,1.84
4.73E-05,1.92
4.74E-05,1.76
4.74E-05,1.84
4.74E-05,1.92
4.75E-05,1.76
4.75E-05,1.6
4.76E-05,1.76
4.76E-05,1.76
4.76E-05,1.68
4.77E-05,1.6
4.77E-05,1.84
4.78E-05,1.76
4.78E-05,1.68
4.78E-05,1.68
4.79E-05,1.68
4.79E-05,1.84
4.80E-05,1.68
4.80E-05,1.6
4.80E-05,1.76
4.81E-05,1.6
4.81E-05,1.52
4.82E-05,1.6
4.82E-05,1.52
4.82E-05,1.68
4.83E-05,1.6
4.83E-05,1.6
4.84E-05,1.52
4.84E-05,1.6
4.84E-05,1.6
