Base Current (uA),Collector Current (mA),,,
3.9,0.65,,,
5.9,1,,,
8.9,1.5,,,
11.8,2,,,
14.7,2.51,,,
17.8,3.04,,,
23.8,4.07,,,
30,5.12,,,
36.1,6.15,,,
43.1,7.3,,,
47.3,7.98,,,
50.3,8.46,,,
54.1,9.07,,,
62.2,10.31,,,
80.2,12.83,,,
94,14.48,,,
113.2,15.11,,,
,,,,
,,,,
